income_per_cap,municipality,pop_0_14,pop_75_plus,population,municip_tax_rate,ruling_coalition,parties_in_majority
166429,Överkalix,395,510,3409,22.799999,Bl,"M, C, FP, V, MP"
174348,Kalix,2326,1987,16307,22.549999,V,"S, V, MP"
155693,Övertorneå,604,625,4711,21.75,A,"M, C, KD, NS, Övertorneå fria alternativ"
162944,Pajala,875,961,6303,23.5,V,"S, V"
212215,Gällivare,2523,2116,18231,22.549999,Bl,"M, V, MP, NS, Malmfältens väl"
166138,Älvsbyn,1229,1019,8171,22.450001,V,"S, V"
188292,Luleå,11823,6503,75966,22.5,V,S
182384,Piteå,6652,3864,41508,22.25,V,"S, V, MP"
178945,Boden,4119,2808,27887,22.6,Bl,"S, FP, KD, MP, NS"
153586,Haparanda,1498,1019,9776,22.5,V,"S, V"
218777,Kiruna,3779,2188,23241,23.049999,Bl,"S, V, M, FI, Samelistan"
